Date,Close,High,Low,Open,Volume,Company,Daily_Return,SMA_200,Volatility
2024-03-18,172.9,176.87,172.7,174.74,75604200,Apple Inc.,-1.05%,,
2024-03-19,175.25,175.78,172.22,173.52,55215200,Apple Inc.,1.0%,,
2024-03-20,177.83,177.83,174.27,174.89,53423100,Apple Inc.,1.68%,,
2024-03-21,170.56,176.66,170.04,176.22,106181300,Apple Inc.,-3.21%,,
2024-03-22,171.47,172.24,169.26,170.95,71106600,Apple Inc.,0.3%,,
2024-03-25,170.05,171.13,168.65,169.77,54288300,Apple Inc.,0.16%,,
2024-03-26,168.91,170.61,168.78,169.2,57388400,Apple Inc.,-0.17%,,
2024-03-27,172.5,172.78,169.31,169.61,60273300,Apple Inc.,1.7%,,
2024-03-28,170.67,171.42,169.71,170.94,65672700,Apple Inc.,-0.16%,,
2024-04-01,169.23,170.45,168.68,170.39,46240500,Apple Inc.,-0.68%,,
2024-04-02,168.05,168.54,167.44,168.29,49329500,Apple Inc.,-0.14%,,
2024-04-03,168.85,169.88,167.79,168.0,47691700,Apple Inc.,0.51%,,
2024-04-04,168.03,171.11,168.03,169.49,53704400,Apple Inc.,-0.86%,,
2024-04-05,168.78,169.59,168.16,168.79,42055200,Apple Inc.,-0.01%,,
2024-04-08,167.66,168.4,167.45,168.24,37425500,Apple Inc.,-0.34%,,
2024-04-09,168.87,169.28,167.56,167.91,42451200,Apple Inc.,0.57%,,
2024-04-10,166.99,168.3,166.32,168.01,49709300,Apple Inc.,-0.6%,,
2024-04-11,174.22,174.64,167.37,167.55,91070300,Apple Inc.,3.98%,,
2024-04-12,175.72,177.52,173.39,173.44,101593300,Apple Inc.,1.31%,,
2024-04-15,171.88,175.8,171.69,174.54,73531800,Apple Inc.,-1.52%,,
2024-04-16,168.58,172.94,167.48,170.94,73711200,Apple Inc.,-1.38%,,
2024-04-17,167.21,169.85,167.21,168.81,50901200,Apple Inc.,-0.95%,,
2024-04-18,166.25,167.85,165.77,167.24,43122900,Apple Inc.,-0.59%,,
2024-04-19,164.22,165.62,163.31,165.43,67772100,Apple Inc.,-0.73%,,
2024-04-22,165.06,166.47,164.0,164.74,48116400,Apple Inc.,0.19%,,
2024-04-23,166.12,166.26,164.14,164.57,49537800,Apple Inc.,0.94%,,
2024-04-24,168.23,168.5,165.43,165.76,48251800,Apple Inc.,1.49%,,
2024-04-25,169.09,169.81,167.36,168.73,50558300,Apple Inc.,0.21%,,
2024-04-26,168.5,170.53,168.38,169.08,44838400,Apple Inc.,-0.34%,,
2024-04-29,172.68,175.2,172.29,172.56,68169400,Apple Inc.,0.07%,,
2024-04-30,169.53,174.17,169.2,172.52,65934800,Apple Inc.,-1.73%,,
2024-05-01,168.5,171.9,168.32,168.78,50383100,Apple Inc.,-0.17%,,
2024-05-02,172.22,172.6,170.09,171.7,94214900,Apple Inc.,0.3%,,
2024-05-03,182.52,186.12,181.8,185.77,163224100,Apple Inc.,-1.75%,,
2024-05-06,180.86,183.33,179.57,181.49,78569700,Apple Inc.,-0.35%,,
2024-05-07,181.54,184.03,180.47,182.59,77305800,Apple Inc.,-0.57%,,
2024-05-08,181.88,182.21,180.6,181.99,45057100,Apple Inc.,-0.06%,,
2024-05-09,183.7,183.79,181.25,181.7,48983000,Apple Inc.,1.1%,,
2024-05-10,182.44,184.47,181.52,184.28,50759500,Apple Inc.,-1.0%,,
2024-05-13,185.66,186.47,184.0,184.82,72044800,Apple Inc.,0.45%,,
2024-05-14,186.8,187.67,185.67,186.88,52393600,Apple Inc.,-0.04%,,
2024-05-15,189.08,190.01,186.74,187.28,70400000,Apple Inc.,0.96%,,
2024-05-16,189.2,190.46,189.02,189.83,52845200,Apple Inc.,-0.33%,,
2024-05-17,189.23,190.17,188.55,188.88,41282900,Apple Inc.,0.19%,,
2024-05-20,190.4,191.28,188.38,188.7,44361300,Apple Inc.,0.9%,,
2024-05-21,191.71,192.08,190.28,190.45,42309400,Apple Inc.,0.66%,,
2024-05-22,190.26,192.17,189.63,191.63,34648500,Apple Inc.,-0.71%,,
2024-05-23,186.25,190.36,186.0,190.34,51005900,Apple Inc.,-2.15%,,
2024-05-24,189.34,189.94,187.41,188.19,36294600,Apple Inc.,0.61%,,
2024-05-28,189.35,192.35,188.47,190.87,52280100,Apple Inc.,-0.79%,,1.15
2024-05-29,189.65,191.61,188.88,188.97,53068000,Apple Inc.,0.36%,,1.14
2024-05-30,190.65,191.54,189.99,190.12,49947900,Apple Inc.,0.28%,,1.13
2024-05-31,191.61,191.92,189.27,190.8,75158300,Apple Inc.,0.42%,,1.11
2024-06-03,193.38,194.34,191.88,192.25,50080500,Apple Inc.,0.59%,,1.01
2024-06-04,193.7,194.67,192.38,193.99,47471400,Apple Inc.,-0.15%,,1.01
2024-06-05,195.21,196.24,194.22,194.75,54156800,Apple Inc.,0.24%,,1.01
2024-06-06,193.83,195.84,193.52,195.03,41181800,Apple Inc.,-0.62%,,1.02
2024-06-07,196.23,196.28,193.49,194.0,53103900,Apple Inc.,1.15%,,1.0
2024-06-10,192.47,196.64,191.51,196.24,97262100,Apple Inc.,-1.92%,,1.04
2024-06-11,206.46,206.47,192.98,193.0,172373300,Apple Inc.,6.97%,,1.43
2024-06-12,212.36,219.46,206.21,206.68,198134300,Apple Inc.,2.75%,,1.48
2024-06-13,213.52,216.02,210.89,214.02,97862700,Apple Inc.,-0.23%,,1.48
2024-06-14,211.78,214.45,210.59,213.13,70122700,Apple Inc.,-0.64%,,1.48
2024-06-17,215.94,218.22,212.01,212.66,93728300,Apple Inc.,1.55%,,1.49
2024-06-18,213.57,217.9,212.29,216.86,79943300,Apple Inc.,-1.52%,,1.51
2024-06-20,208.98,213.52,208.15,213.21,86172500,Apple Inc.,-1.99%,,1.54
2024-06-21,206.79,211.18,206.42,209.69,246421400,Apple Inc.,-1.38%,,1.55
2024-06-24,207.44,211.99,205.9,207.02,80727000,Apple Inc.,0.2%,,1.44
2024-06-25,208.37,210.67,207.91,208.45,56713900,Apple Inc.,-0.04%,,1.43
2024-06-26,212.54,214.14,209.93,210.79,66213200,Apple Inc.,0.83%,,1.42
2024-06-27,213.38,215.02,211.64,213.97,49772700,Apple Inc.,-0.27%,,1.4
2024-06-28,209.91,215.35,209.6,215.05,82542700,Apple Inc.,-2.39%,,1.44
2024-07-01,216.02,216.78,211.21,211.38,60402900,Apple Inc.,2.2%,,1.47
2024-07-02,219.53,219.64,214.38,215.43,58046200,Apple Inc.,1.91%,,1.49
2024-07-03,220.81,220.81,218.3,219.26,37369800,Apple Inc.,0.7%,,1.49
2024-07-05,225.58,225.69,220.91,220.91,60412400,Apple Inc.,2.12%,,1.51
2024-07-08,227.06,227.09,222.5,226.33,59085900,Apple Inc.,0.32%,,1.5
2024-07-09,227.91,228.63,225.61,227.17,48076100,Apple Inc.,0.33%,,1.5
2024-07-10,232.2,232.3,228.48,228.53,62627700,Apple Inc.,1.6%,,1.51
2024-07-11,226.81,231.61,225.01,230.61,64710600,Apple Inc.,-1.65%,,1.53
2024-07-12,229.77,231.86,227.91,228.15,53046500,Apple Inc.,0.71%,,1.51
2024-07-15,233.61,236.44,232.31,235.69,62631300,Apple Inc.,-0.88%,,1.52
2024-07-16,234.03,235.48,231.55,234.21,43234300,Apple Inc.,-0.08%,,1.52
2024-07-17,228.11,230.68,225.88,228.68,57345900,Apple Inc.,-0.25%,,1.49
2024-07-18,223.43,229.67,221.53,229.51,66034600,Apple Inc.,-2.65%,,1.55
2024-07-19,223.56,226.04,222.53,224.07,49151500,Apple Inc.,-0.23%,,1.54
2024-07-22,223.21,227.02,222.34,226.25,48201800,Apple Inc.,-1.34%,,1.56
